participant_id,typeform_response_id,What is your prolific ID?,"How often have you experienced or witnessed safety-related incidents (e.g., crime, emergencies) in your city that affect how safe you feel?",Do you live North or South of the UK?,How much do you trust local government institutions?,How comfortable are you with understanding and using new technologies?,Response Type,Stage Date (UTC),Status,Custom study tncs accepted at,Deception,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,Political affiliation (uk)
d60006e3-572b-4d10-bb94-77923e2cec87,0n09d4ro5ly06a3puitb0n09dd83kxzd,65b0221481be9840cf46c89f,Rarely,North,Neutral,Comfortable,completed,,APPROVED,Not Applicable,,64.0,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",Left
cab10f4d-c98e-413a-a596-5c2ee4ec6c7b,yq7yc5jwxiwkacoyq7ydzoefx430px0v,6623aea85272740e6caa3e0a,Sometimes,South,Trust,Comfortable,completed,,APPROVED,Not Applicable,,48.0,Female,Black,Ghana,United Kingdom,United Kingdom,English,No,Full-Time,Left
7d68b86e-492b-46ca-b5b3-9026011bd531,x2e3rm8elozjzmeqx2e3rena0gceseit,5d7e8b886984850001138382,Rarely,North,Neutral,Comfortable,completed,,APPROVED,Not Applicable,"Yes, I would be comfortable to take part in such a study",38.0,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time,
c3bb0fd5-8838-46c8-92fc-c96b93a7e936,gydnsqcbawvgahi1gydnzjlzbedlbh3u,668cfb61d0e0765f352fe963,Sometimes,North,Neutral,Comfortable,completed,,APPROVED,Not Applicable,,46.0,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,,
d7d77afe-ed6a-4ea7-a8b8-08ef5373128a,slfbikxs6wy394gwihrsldydtjc1fvsp,66d582c819db73a04b11b443,Sometimes,South,Neutral,Comfortable,completed,,APPROVED,Not Applicable,,47.0,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,
1149cd48-c14c-444b-b35b-63a9bf0199c9,y9ehtv57y1t4tx5ihy9ehtvpc0wlybai,56c9e4d9b30699000bd974a5,Rarely,South,Distrust,Very comfortable,completed,,APPROVED,Not Applicable,"Yes, I would be comfortable to take part in such a study",39.0,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,,
525cbcdc-ce65-4157-a80b-4a4d71184346,qbepmwefh30u5jqbep6z7h1x017i9hk9,656ddcbf866b84025844f011,Often,South,Distrust,Comfortable,completed,,APPROVED,Not Applicable,,31.0,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,
c531383f-3328-4d19-8de4-6d260947816d,vh1vlfw8h4y6rqbp14s17vh1vl9iqd98,5aa559ee1eda41000136cd9a,Sometimes,South,Neutral,Very comfortable,completed,,APPROVED,Not Applicable,,41.0,Male,Mixed,United Kingdom,United Kingdom,United Kingdom,English,No,Other,Left
f3673fac-93c5-4243-9f7d-9461e8fd07c3,goztbqqixy984i0m55mfgoztbqabugru,66c75715dbb32f863447cb6b,Rarely,South,Trust,Very comfortable,completed,,APPROVED,Not Applicable,,31.0,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time,
23abecf3-0e70-46dc-b850-3cc111e37b9e,cbkcwsw7cvxnhis42qcbkcwszmdy9j3g,6681614369bdb3f339514144,Sometimes,South,Neutral,Comfortable,completed,,APPROVED,Not Applicable,,34.0,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time,Left
01451c1e-a0ff-4326-8513-93203505a8b1,4dpdkpmopllh5604v7drv4dpdkc6o4vj,66792a957a70f9bab7ebfff1,Often,South,Neutral,Very comfortable,completed,,APPROVED,Not Applicable,,27.0,Male,Black,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time,Centre
dba2f930-8d57-4ef1-be9f-759bcce97b64,st6dc1fitzn3hbst6dc1czi3qlxmmnnj,5e28e735ea776009d4d15c34,Rarely,South,Trust,Comfortable,completed,,APPROVED,Not Applicable,,38.0,Male,Black,Nigeria,United Kingdom,United Kingdom,English,,,
ae7578ea-dd9c-4c9a-8631-842ef7e9cb50,a2doj9p6dzijvwd1ya2doj55e3xyuyg0,6131f6711c0d96f6f1fb04af,Never,North,Trust,Comfortable,completed,,APPROVED,Not Applicable,,35.0,Male,White,Romania,United Kingdom,,Romanian,,,
9150f39b-d3d2-4a53-bd71-16a389e95a65,4wy8je7oe822hz8466yn5xxzt6wuywqi,6659e9a0dfd16592e2351cfe,Rarely,South,Neutral,Very comfortable,completed,,APPROVED,Not Applicable,,22.0,Male,Black,Nigeria,United Kingdom,United Kingdom,English,Yes,Due to start a new job within the next month,Centre
2d9ac674-a7fc-4e17-a78a-f658f8653878,58s3ykrorp3yq58s3sbb1e0stjh86wtg,646d09329a9be6926ff22bed,Sometimes,South,Trust,Comfortable,completed,,APPROVED,Not Applicable,,63.0,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Other,Right
f9ecd721-ed09-48de-829b-60f39a68196f,ynhb6m0uqder58w0tqa84ynhb62poa83,57a6891d8eccbc0001f39f89,Sometimes,South,Trust,Comfortable,completed,,APPROVED,Not Applicable,"Yes, I would be comfortable to take part in such a study",52.0,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Other,
6fcfd5ca-99da-4d92-9fee-f8c72e70b00c,7m0k2ek5c4aqhp03cc7m0kvvot3q7u83,664dff844e81e653a83c8260,Often,South,Distrust,Very comfortable,completed,,APPROVED,Not Applicable,,33.0,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,Centre
